"LOINC_NUM","LONG_COMMON_NAME"
"100088-4","Taenia solium larva Ab bands panel - Serum by Immunoblot"
"100089-2","Taenia solium larva 6-8kD Ab [Presence] in Serum by Immunoblot"
"1000-9","DBG Ab [Presence] in Serum or Plasma from Blood product unit"
"100090-0","Taenia solium larva 45kD Ab [Presence] in Serum by Immunoblot"
"100091-8","Trypanosoma cruzi Ab [Units/volume] in Serum by Immunoassay"
"100092-6","Trypanosoma cruzi Ab bands panel - Serum by Immunoblot"
"100093-4","Trypanosoma cruzi 15-16kD IgG Ab [Presence] in Serum by Immunoblot"
"100094-2","Trypanosoma cruzi 21-22kD IgG Ab [Presence] in Serum by Immunoblot"
"100095-9","Trypanosoma cruzi 27-28kD IgG Ab [Presence] in Serum by Immunoblot"
"100096-7","Trypanosoma cruzi 42kD IgG Ab [Presence] in Serum by Immunoblot"
"100097-5","Trypanosoma cruzi 45-47kD IgG Ab [Presence] in Serum by Immunoblot"
"100098-3","Trypanosoma cruzi 120-200kD IgG Ab [Presence] in Serum by Immunoblot"
"10009-9","R wave duration in lead V6"
"100099-1","Trypanosoma cruzi 160kD IgG Ab [Presence] in Serum by Immunoblot"
"100100-7","Fasciola sp IgG Ab [Presence] in Serum by Immunoassay"
"100101-5","Fasciola sp 8-9kD IgG Ab [Presence] in Serum by Immunoblot"
"100102-3","Fasciola sp 27-28kD IgG Ab [Presence] in Serum by Immunoblot"
"100103-1","Fasciola sp 60kD IgG Ab [Presence] in Serum by Immunoblot"
"100104-9","Fasciola sp 42kD IgG Ab [Presence] in Serum by Immunoblot"
"100105-6","Filaria IgG and IgM panel - Serum"
"100106-4","Filaria IgG Ab [Presence] in Serum by Immunoassay"
"10010-7","R' wave amplitude in lead AVF"
"100107-2","Leishmania sp IgG Ab [Presence] in Serum by Immunoassay"
"100108-0","Leishmania sp IgG Ab [Units/volume] in Serum by Immunoassay"
"100109-8","Leishmania sp Ab bands panel - Serum by Immunoblot"
"100110-6","Leishmania sp 14kD IgG Ab [Presence] in Serum by Immunoblot"
"100111-4","Leishmania sp 16kD IgG Ab [Presence] in Serum by Immunoblot"
"100112-2","Fasciola sp Ab bands panel - Serum by Immunoblot"
"100113-0","Helicobacter pylori Ab panel - Serum"
"100114-8","Toxoplasma gondii 30kD Ab [Presence] in Serum by Immunoblot"
"10011-5","R' wave amplitude in lead AVL"
"100115-5","Toxoplasma gondii 31kD Ab [Presence] in Serum by Immunoblot"
"100116-3","Toxoplasma gondii 33kD Ab [Presence] in Serum by Immunoblot"
"100117-1","Toxoplasma gondii 40kD Ab [Presence] in Serum by Immunoblot"
"100118-9","Toxoplasma gondii 41kD Ab [Presence] in Serum by Immunoblot"
"100119-7","Toxoplasma gondii 45kD Ab [Presence] in Serum by Immunoblot"
"100120-5","Chlamydia trachomatis Ab panel - Serum"
"100121-3","Chlamydia trachomatis IgA Ab [Presence] in Serum by Immunoassay"
"100122-1","Chlamydophila pneumoniae Ab panel - Serum"
"10012-3","R' wave amplitude in lead AVR"
"100123-9","Chlamydophila pneumoniae IgA Ab [Presence] in Serum by Immunoassay"
"100124-7","Chlamydophila pneumoniae IgA Ab [Units/volume] in Serum by Immunoassay"
"100125-4","Chlamydophila psittaci Ab panel - Serum"
"100126-2","Bordetella pertussis Ab.IgG panel - Serum"
"100127-0","Campylobacter sp Ab panel - Serum"
"100128-8","Cryptococcus sp Ag panel - Serum"
"100129-6","Schistosoma sp Ab [Titer] in Serum by Hemagglutination"
"100130-4","Schistosoma mansoni Ab [Presence] in Serum by Immunoblot"
"10013-1","R' wave amplitude in lead I"
"100131-2","Schistosoma sp 8kD Ab [Presence] in Serum by Immunoblot"
"100132-0","Schistosoma sp 9kD Ab [Presence] in Serum by Immunoblot"
"100133-8","Schistosoma sp 10kD Ab [Presence] in Serum by Immunoblot"
"100134-6","Schistosoma sp 11kD Ab [Presence] in Serum by Immunoblot"
"100135-3","Schistosoma sp 12-13kD Ab [Presence] in Serum by Immunoblot"
"100136-1","Schistosoma sp 14-15kD Ab [Presence] in Serum by Immunoblot"
"100137-9","Schistosoma sp 15-16kD Ab [Presence] in Serum by Immunoblot"
"100138-7","Schistosoma sp 18-19kD Ab [Presence] in Serum by Immunoblot"
"100139-5","Schistosoma sp 22-24kD Ab [Presence] in Serum by Immunoblot"
"100140-3","Schistosoma sp 30-34kD Ab [Presence] in Serum by Immunoblot"
"100141-1","Schistosoma sp 65kD Ab [Presence] in Serum by Immunoblot"
"100142-9","Schistosoma sp 70kD Ab [Presence] in Serum by Immunoblot"
"100143-7","Schistosoma sp 80kD Ab [Presence] in Serum by Immunoblot"
"100144-5","Schistosoma sp 95kD Ab [Presence] in Serum by Immunoblot"
"100145-2","Schistosoma sp 110kD Ab [Presence] in Serum by Immunoblot"
"100146-0","Schistosoma sp 120kD Ab [Presence] in Serum by Immunoblot"
"100147-8","Toxoplasma gondii Ab bands panel - Serum by Immunoblot"
"100148-6","Schistosoma sp Ab bands panel - Serum by Immunoblot"
"10014-9","R' wave amplitude in lead II"
"100149-4","6-oxo-piperidine-2-carboxylate and 6(R+S)-oxo-propylpiperidine-2-carboxylate panel - Urine and Serum or Plasma"
"100150-2","6(R+S)-oxo-propylpiperidine-2-carboxylate [Moles/volume] in Plasma"
"100151-0","6-oxo-piperidine-2-carboxylate [Moles/volume] in Plasma"
"100152-8","6-oxo-piperidine-2-carboxylate/Creatinine [Molar ratio] in Urine"
"100153-6","6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine [Molar ratio] in Urine"
"100154-4","Specimen collection supervision level"
"100155-1","Left cornea Type of Analysis method by Specular microscopy"
"10015-6","R' wave amplitude in lead III"
"100156-9","SARS-CoV-2 (COVID-19) variant [Type] in Specimen by NAA with probe detection"
"100157-7","SARS-CoV-2 (COVID-19) lineage [Type] in Specimen by Sequencing"
"100158-5","Microalbumin [Mass/volume] in Urine collected for unspecified duration"
"100159-3","Knee Society Score pre-op panel [Knee Society Score]"
"100160-1","Knee replacement"
"100161-9","Charnley Functional Classification"
"100162-7","Knee alignment W standing X-ray measured"
"100163-5","Knee medial AndOr lateral instability W full extension"
"10016-4","R' wave amplitude in lead V1"
"100164-3","Knee AP instability W 90 degree flexion"
"100165-0","Knee range of motion"
"100166-8","Flexion contracture range of Knee"
"100167-6","Extensor lag range of Knee"
"100168-4","Knee pain severity with level walking"
"100169-2","Knee pain severity with stairs or inclines"
"1001-7","DBG Ab [Presence] in Serum or Plasma from Donor"
"100170-0","Knee feels normal"
"100171-8","Satisfaction with level of knee pain while sitting"
"10017-2","R' wave amplitude in lead V2"
"100172-6","Satisfaction with level of knee pain while lying in bed"
"100173-4","Satisfaction with knee function while getting out of bed"
"100174-2","Satisfaction with knee function while performing light household duties"
"100175-9","Satisfaction with knee function while performing recreational activities"
"100176-7","Expect surgery to relieve pain"
"100177-5","Expect surgery will improve ability to perform activities of daily living"
"100178-3","Expect surgery will improve ability to perform leisure, recreational, or sports activities"
"100179-1","Walk without assistive mobility devices"
"10018-0","R' wave amplitude in lead V3"
"100180-9","Assistive mobility devices used"
"100181-7","Assistive mobility devices used due to health condition"
"100182-5","Duration of standing before sitting due to knee discomfort"
"100183-3","Duration of walking before stopping due to knee discomfort"
"100184-1","How bothersome is knee when walking on an uneven surface"
"100185-8","How bothersome is knee when turning or pivoting leg"
"100186-6","How bothersome is knee when climbing up or down a flight of stairs"
"100187-4","How bothersome is knee when getting up from a low seat without armrests"
"100188-2","How bothersome is knee when getting into or out of a car"
"100189-0","How bothersome is knee when moving laterally"
"100190-8","How bothersome is knee when climbing a ladder or step stool"
"100191-6","How bothersome is knee when carrying a bag for one block"
"100192-4","How bothersome is knee when squatting"
"100193-2","How bothersome is knee when kneeling"
"100194-0","How bothersome is knee when running"
"100195-7","Pain severity--during activity"
"100196-5","Pre-op total score [Knee Society Score]"
"100197-3","Exercise activity and pain severity panel"
"10019-8","R' wave amplitude in lead V4"
"100198-1","Pre-op objective knee indicators score [Knee Society Score]"
"100199-9","Pre-op symptoms score [Knee Society Score]"
"100200-5","Pre-op patient expectations score [Knee Society Score]"
"100201-3","Pre-op functional activities score [Knee Society Score]"
"100202-1","Pre-op discretionary knee activities score [Knee Society Score]"
"100203-9","Knee Society Score post-op panel [Knee Society Score]"
"100204-7","Accuracy of pre-surgery expectations of pain relief"
"100205-4","Accuracy of pre-surgery expectations to perform activities of daily living"
"10020-6","R' wave amplitude in lead V5"
"100206-2","Accuracy of pre-surgery expectations to perform leisure, recreational, or sports activities"
"100207-0","Post-op total score [Knee Society Score]"
"100208-8","Post-op objective knee indicators score [Knee Society Score]"
"100209-6","Post-op symptoms score [Knee Society Score]"
"100210-4","Post-op patient expectations score [Knee Society Score]"
"100211-2","Post-op functional activities score [Knee Society Score]"
"100212-0","Post-op discretionary knee activities score [Knee Society Score]"
"100213-8","Prostate cancer multigene analysis in Blood or Tissue by Molecular genetics method"
"10021-4","R' wave amplitude in lead V6"
"100214-6","Dental model prior authorization Document"
"100215-3","Episode of care medical records Document Transplant surgery"
"100216-1","Surgical synoptic report"
"100217-9","Synoptic report Narrative Surgical oncology"
"100218-7","Surgical oncology of colon cancer synoptic report"
"100219-5","Surgical oncology of melanoma cancer synoptic report"
"100220-3","Surgical oncology of breast cancer synoptic report"
"100221-1","Surgical oncology of thyroid cancer synoptic report"
"10022-2","R' wave duration in lead AVF"
"100222-9","Surgical oncology of pancreas cancer synoptic report"
"100223-7","Physical findings of Retina Narrative"
"100224-5","Cardiac left ventricular segmental wall motion by echo panel"
"100225-2","Bone density quantitative ultrasound study"
"100226-0","Small bowel capsule endoscopy study Document"
"100227-8","Colon capsule endoscopy study Document"
"100228-6","Upper gastrointestinal capsule endoscopy study Document"
"100229-4","Endoscopic ultrasound study Document"
"10023-0","R' wave duration in lead AVL"
"100230-2","Routine prenatal assessment panel"
"100231-0","Endobronchial ultrasound study"
"100232-8","Impacts of Events Scale-Revised panel"
"100233-6","Reminders brought back feelings about adverse event"
"100234-4","Trouble staying asleep"
"100235-1","Other things triggered persistent thoughts about adverse event"
"100236-9","Felt irritable AndOr angry"
"100237-7","Avoided getting upset when unintentionally thought about adverse event"
"100238-5","Thought about adverse event unintentionally"
"100239-3","Felt as if adverse event did not happen"
"100240-1","Avoided reminders of adverse event"
"100241-9","Experienced mental images of adverse event"
"100242-7","Easily startled"
"100243-5","Tried to not think of adverse event"
"100244-3","Aware of feelings about adverse event, but did not address them"
"100245-0","Feelings about adverse event were numb"
"100246-8","Acted or felt the same as during adverse event"
"100247-6","Trouble falling asleep"
"10024-8","R' wave duration in lead AVR"
"100248-4","Waves of strong feelings about adverse event"
"100249-2","Tried to remove adverse event from memory"
"1002-5","DBG Ab [Presence] in Serum or Plasma"
"100250-0","Trouble concentrating"
"100251-8","Reminders of adverse event caused physical reactions"
"100252-6","Had dreams about adverse event"
"100253-4","Felt watchful and on-guard"
"100254-2","Tried not to talk about adverse event"
"10025-5","R' wave duration in lead I"
"100255-9","Total score [Impact of Event Scale-Revised]"
"100256-7","Fallen in last 6 months"
"100257-5","Feel unsteady when standing or walking"
"100258-3","History of fall related injury"
"100259-1","Aware of tactile sensations"
"100260-9","Easy to describe thoughts AndOr feelings"
"100261-7","Critical of own thoughts AndOr feelings"
"100262-5","Able to notice distressing thoughts AndOr feelings without having to react"
"10026-3","R' wave duration in lead II"
"100263-3","Easily distracted"
"100264-1","Able to notice thoughts AndOr feelings without being overwhelmed"
"100265-8","Aware of dietary intake impact on self"
"100266-6","Difficult to describe thoughts AndOr feelings"
"100267-4","Aware of auditory stimuli"
"100268-2","Able to avoid immediate reaction in difficult situations"
"100269-0","Do things without paying attention"
"100270-8","Recover quickly from distressing thoughts AndOr images"
"10027-1","R' wave duration in lead III"
"100271-6","Aware of olfactory stimuli"
"100272-4","Aware of visual stimuli"
"100273-2","Aware of emotions affect on thoughts AndOr behavior"
"100274-0","Observing score [FFMQ]"
"100275-7","Describing score [FFMQ]"
"100276-5","Acting with awareness score [FFMQ]"
"100277-3","Nonjudging score [FFMQ]"
"100278-1","Nonreactivity score [FFMQ]"
"100279-9","Total score [FFMQ]"
"100280-7","Five Facet Mindfulness Questionnaire panel [FFMQ]"
"100281-5","D Ab [Units/volume] in Serum or Plasma"
"100282-3","Vaccine exemption certificate"
"100283-1","Harris Hip Score panel [Harris Hip Score]"
"100284-9","Walking - functional ability"
"100285-6","Comfortable seated position"
"100286-4","Able to board public transportation"
"100287-2","Put on shoes and socks"
"100288-0","Absence of deformity score [Harris Hip Score]"
"10028-9","R' wave duration in lead V1"
"100289-8","Absence of hip deformity measurements"
"100290-6","Range of motion score [Harris Hip Score]"
"100291-4","Total score [Harris Hip Score]"
"100292-2","Pre-op patient satisfaction score [Knee Society Score]"
"100293-0","Hip Flexion range of motion"
"100294-8","Hip Abduction range of motion"
"100295-5","Hip Adduction range of motion"
"100296-3","Hip External rotation range of motion"
"10029-7","R' wave duration in lead V2"
"100297-1","Hip Internal rotation range of motion"
"100298-9","Repetition count"
"100299-7","Post-op patient satisfaction score [Knee Society Score]"
"100300-3","End time Unspecified body region"
"100301-1","Start time Unspecified body region"
"100302-9","Time period start and end panel Unspecified body region"
"100303-7","Condition certainty of presence"
"100304-5","Flights climbed [#] Reporting Period"
"10030-5","R' wave duration in lead V3"
"100305-2","IDH1 gene exon 4 targeted mutation analysis [Presence] in Blood or Marrow by Molecular genetics method"
"100306-0","IDH2 gene exon 4 targeted mutation analysis [Presence] in Blood or Marrow by Molecular genetics method"
"100307-8","Behavioral screening elder mistreatment"
"100308-6","Need help getting to essential places"
"100309-4","Activity support person"
"100310-2","Reliability of support person"
"100311-0","Need help to make sure there is enough food, medicines or any other things needed in house"
"100312-8","Person or persons that makes sure there is enough food, medicines or any other things needed in house"
"10031-3","R' wave duration in lead V4"
"100313-6","Need help with household things such as cook meals, help feed, or provide correct medicines each day"
"100314-4","Need help with house cleaning or yard work"
"100315-1","Need help getting out of bed, showered, or dressed"
"100316-9","Need help to make sure bills get paid"
"100317-7","Relationship of usual support person for daily activities"
"100318-5","Have help with finances AndOr financial decisions"
"100319-3","Relationship of financial support person"
"100320-1","Financial support person usually asks for permission before making decisions"
"10032-1","R' wave duration in lead V5"
"100321-9","Financial support person usually makes good decisions about finances"
"100322-7","Have access to paperwork for financial decisions made"
"100323-5","Financial support person forged signature"
"100324-3","Coercion of financial support person for signing a document in order to get money or possessions"
"100325-0","Experienced theft by support person"
"100326-8","Money spent or property sold without permission"
"100327-6","Stranger forged signature for financial gain"
"100328-4","Stranger forced document signature for financial gain"
"100329-2","Feared for safety due to verbal attack"
"1003-3","Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma"
"100330-0","Felt humiliated due to ridicule"
"100331-8","Coerced to do something"
"100332-6","Ignored by close friend or relative for extended period"
"100333-4","Physically hit or threatened"
"100334-2","Been physically hurt with some degree of injury"
"100335-9","Coerced sexual activity"
"100336-7","Coerced touching of private body parts of self or others"
"100337-5","Coerced to undress or expose private body area"
"100338-3","Photographed in any degree of nudity without consent"
"10033-9","R' wave duration in lead V6"
"100339-1","Experienced attempted physical restraint"
"100340-9","Range of motion panel Hip"
"100341-7","Rubella virus IgG Ab index [Units/volume] in Serum and CSF"
"100342-5","Volatile Organic Compounds associated with SARS-CoV-2 infection [Presence] in Exhaled gas by Gas chromatography-mass spectrometry"
"100343-3","Influenza virus B RNA [Presence] in Saliva (oral fluid) by NAA with probe detection"
"100344-1","Influenza virus A RNA [Presence] in Saliva (oral fluid) by NAA with probe detection"
"100345-8","Influenza virus A and B and SARS-CoV-2 (COVID-19) RNA panel - Specimen by NAA with probe detection"
"100346-6","Clotting time.extrinsic coagulation system activated.platelets inhibited of Blood by Rotational TEG"
"10034-7","S wave amplitude in lead AVF"
"100347-4","Clot formation.extrinsic coagulation system activated.platelets inhibited [Time] in Blood by Rotational TEG"
"100348-2","Model for end-stage liver disease sodium score"
"100349-0","US.doppler Penis vessels W vasodilator IV"
"100350-8","Sesamum indicum 1 IgE Ab [Units/volume] in Serum"
"100351-6","Pioglitazone [Presence] in Serum or Plasma"
"100352-4","Rosiglitazone [Presence] in Serum or Plasma"
"100353-2","Norwalk Community Health Center Screening Tool [NCHC]"
"10035-4","S wave amplitude in lead AVL"
"100354-0","Frequency of participating in multi-modal communication without assistance"
"100355-7","Frequency of participating in spoken language expression communication without assistance"
"100356-5","Chlamydia trachomatis and Neisseria gonorrhoeae and Trichomonas vaginalis DNA [Identifier] in Specimen by NAA with probe detection"
"100357-3","Naloxone [Presence] in Cord tissue by Screen method"
"100358-1","Phentermine [Presence] in Cord tissue by Screen method"
"100359-9","Gliadin 33 mer peptide [Mass/volume] in Stool by Immunoassay"
"100360-7","Brief Resilience Scale panel [BRS]"
"100361-5","Quickly recover from bad events"
"10036-2","S wave amplitude in lead AVR"
"100362-3","Difficulty making it through stressful events"
"100363-1","Easily recover from a stressful event"
"100364-9","Difficulty recovering from bad events"
"100365-6","Easily recover from difficulties"
"100366-4","Lengthy recovery from setbacks"
"100367-2","Total Score BRS"
"100368-0","Amino Acids Urea Cycle Panel - Serum or Plasma by LC/MS/MS"
"100369-8","NM Thyroid gland Views W Tl-201 IV"
"10037-0","S wave amplitude in lead I"
"100370-6","Orthopoxvirus DNA [Identifier] in Specimen by NAA with probe detection"
"100371-4","Titin Ab [Units/volume] in Serum by Immunoassay"
"100372-2","Abiraterone [Mass/volume] in Serum or Plasma"
"100373-0","Eucheuma IgG Ab [Units/volume] in Serum"
"100374-8","Aloe vera IgG Ab [Units/volume] in Serum"
"100375-5","Anise IgG Ab [Units/volume] in Serum"
"100376-3","Bambusa vulgaris IgG Ab [Units/volume] in Serum"
"100377-1","Goat cheese IgG Ab [Units/volume] in Serum"
"100378-9","Sheep cheese IgG Ab [Units/volume] in Serum"
"100379-7","Leeks IgG Ab [Units/volume] in Serum"
"100380-5","Red cabbage IgG Ab [Units/volume] in Serum"
"100381-3","Mentha balsamea Wild IgG Ab [Units/volume] in Serum"
"100382-1","FDA package insert REMS addressed risk"
"100383-9","Monkeypox virus DNA [Presence] in Specimen by NAA with probe detection"
"100384-7","Rapeseed IgG Ab [Units/volume] in Serum"
"100385-4","Corn salad IgG Ab [Units/volume] in Serum"
"100386-2","Rosemary IgG Ab [Units/volume] in Serum"
"100387-0","Poppy Seed IgG Ab [Units/volume] in Serum"
"10038-8","S wave amplitude in lead II"
"100388-8","Cocoa IgG Ab [Units/volume] in Serum"
"100389-6","Pistachio IgG Ab [Units/volume] in Serum"
"100390-4","Sunflower Seed IgG Ab [Units/volume] in Serum"
"100391-2","Dates IgG Ab [Units/volume] in Serum"
"100392-0","Duck meat IgG Ab [Units/volume] in Serum"
"100393-8","Allergen Mushroom mix 2 (Xerocomus, Boletus) IgG Ab [Units/volume] in Serum"
"100394-6","Astacoidea IgG Ab [Units/volume] in Serum"
"100395-3","Carob IgG Ab [Units/volume] in Serum"
"10039-6","S wave amplitude in lead III"
"100396-1","Brassica napus IgG Ab [Units/volume] in Serum"
"100397-9","Goat Meat IgG Ab [Units/volume] in Serum"
"100398-7","Goose meat IgG Ab [Units/volume] in Serum"
"100399-5","Ostrich meat IgG Ab [Units/volume] in Serum"
"100400-1","Quail meat IgG Ab [Units/volume] in Serum"
"100401-9","Rabbit meat IgG Ab [Units/volume] in Serum"
"100402-7","Venison meat IgG Ab [Units/volume] in Serum"
"100403-5","Guineafowl IgG Ab [Units/volume] in Serum"
"10040-4","S wave amplitude in lead V1"
"100404-3","Horse meat IgG Ab [Units/volume] in Serum"
"100405-0","Kefir IgG Ab [Units/volume] in Serum"
"100406-8","Butter IgG Ab [Units/volume] in Serum"
"100407-6","Camembert cheese IgG Ab [Units/volume] in Serum"
"100408-4","Emmental cheese IgG Ab [Units/volume] in Serum"
"100409-2","Processed cheese IgG Ab [Units/volume] in Serum"
"1004-1","Direct antiglobulin test.complement specific reagent [Presence] on Red Blood Cells"
"100410-0","Curd cheese IgG Ab [Units/volume] in Serum"
"100411-8","Sugar Beet IgG Ab [Units/volume] in Serum"
"10041-2","S wave amplitude in lead V2"
"100412-6","Chinese cabbage IgG Ab [Units/volume] in Serum"
"100413-4","Fennel Fresh IgG Ab [Units/volume] in Serum"
"100414-2","Gourd IgG Ab [Units/volume] in Serum"
"100415-9","Kale IgG Ab [Units/volume] in Serum"
"100416-7","Savoy cabbage IgG Ab [Units/volume] in Serum"
"100417-5","Vitis sp leaf IgG Ab [Units/volume] in Serum"
"100418-3","Liquorice IgG Ab [Units/volume] in Serum"
"100419-1","Snow pea IgG Ab [Units/volume] in Serum"
"10042-0","S wave amplitude in lead V3"
"100420-9","Fava bean IgG Ab [Units/volume] in Serum"
"100421-7","Chick Pea IgG Ab [Units/volume] in Serum"
"100422-5","Chicory IgG Ab [Units/volume] in Serum"
"100423-3","Allergy Mushroom Mix 1 (Button + oyster + Shiitaki + chanterelle mushroom) IgG Ab [Units/volume] in Serum"
"100424-1","8(9)-Cholestenol [Mass/volume] in Serum or Plasma"
"100425-8","DiHydro T-Mas [Mass/volume] in Serum or Plasma"
"100426-6","Squalene [Mass/volume] in Serum or Plasma"
"100427-4","Stigmasterol [Mass/volume] in Serum or Plasma"
"100428-2","Carnitine free and total and acylcarnitine panel - Urine"
"100429-0","LRBA deficiency panel - Blood"
"100430-8","Cells.LRBA+/Cells.CD3+CD14-CD45+ in Blood by Flow cytometry (FC)"
"100431-6","Cells.CD3+CD14-CD45+.LRBA mean fluorescence intensity in Blood by Flow cytometry (FC)"
"100432-4","Cells.LRBA+/Cells.CD3-CD14-CD19+CD45+ in Blood by Flow cytometry (FC)"
"100433-2","Cells.CD3-CD14-CD19+CD45+.LRBA mean fluorescence intensity in Blood by Flow cytometry (FC)"
"100434-0","Orthopoxvirus.non-variola DNA [Presence] in Specimen by NAA with probe detection"
"100435-7","Glial fibrillary acidic protein [Mass/volume] in Serum by Immunoassay"
"100436-5","Ubiquitin carboxyl-terminal hydrolase-L1 [Mass/volume] in Serum by Immunoassay"
"100437-3","Norsufentanil [Mass/volume] in Urine by Confirmatory method"
"10043-8","S wave amplitude in lead V4"
"100438-1","Adolescent medicine Outpatient Progress note"
"100439-9","Allergy and Immunology Outpatient Progress note"
"100440-7","Allergy Outpatient Progress note"
"100441-5","Attending Outpatient Progress note"
"100442-3","Audiology Outpatient Progress note"
"100443-1","Bariatric surgery Outpatient Progress note"
"100444-9","Blood banking and transfusion medicine Outpatient Progress note"
"100445-6","Bone Marrow Transplant Outpatient Progress note"
"10044-6","S wave amplitude in lead V5"
"100446-4","Breastfeeding Outpatient Progress note"
"100447-2","Burn management Outpatient Progress note"
"100448-0","Cardiac surgery Outpatient Progress note"
"100449-8","Cardiopulmonary Outpatient Progress note"
"100450-6","Child and adolescent psychiatry Outpatient Progress note"
